Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,8147
PABLO,M,2002,5930
DANIEL,M,2002,5700
DAVID,M,2002,5524
ADRIAN,M,2002,5043
JAVIER,M,2002,5018
ALVARO,M,2002,4678
SERGIO,M,2002,3824
CARLOS,M,2002,3668
JORGE,M,2002,2931
MARIO,M,2002,2918
RAUL,M,2002,2778
DIEGO,M,2002,2746
MANUEL,M,2002,2740
MIGUEL,M,2002,2684
IVAN,M,2002,2681
ANTONIO,M,2002,2561
JUAN,M,2002,2362
RUBEN,M,2002,2238
VICTOR,M,2002,2129
ALBERTO,M,2002,2017
JESUS,M,2002,1901
MARC,M,2002,1886
OSCAR,M,2002,1858
ANGEL,M,2002,1790
FRANCISCO,M,2002,1764
JOSE,M,2002,1678
ALEX,M,2002,1643
MARCOS,M,2002,1600
JAIME,M,2002,1453
ISMAEL,M,2002,1402
LUIS,M,2002,1365
FRANCISCO JAVIER,M,2002,1317
MIGUEL ANGEL,M,2002,1316
PEDRO,M,2002,1291
SAMUEL,M,2002,1247
CRISTIAN,M,2002,1220
PAU,M,2002,1219
ANDRES,M,2002,1199
IKER,M,2002,1197
JOSE ANTONIO,M,2002,1196
GUILLERMO,M,2002,1178
IGNACIO,M,2002,1174
RAFAEL,M,2002,1166
FERNANDO,M,2002,1158
JOSE MANUEL,M,2002,1142
NICOLAS,M,2002,1050
GONZALO,M,2002,1031
GABRIEL,M,2002,1026
HUGO,M,2002,973
JOEL,M,2002,963
JOAN,M,2002,947
AARON,M,2002,915
AITOR,M,2002,881
POL,M,2002,874
ENRIQUE,M,2002,869
EDUARDO,M,2002,823
JOSE LUIS,M,2002,811
RODRIGO,M,2002,795
ARNAU,M,2002,789
JORDI,M,2002,779
ROBERTO,M,2002,767
JUAN JOSE,M,2002,760
SANTIAGO,M,2002,745
JUAN MANUEL,M,2002,698
CHRISTIAN,M,2002,695
JOSE MARIA,M,2002,688
ERIC,M,2002,666
LUCAS,M,2002,661
GERARD,M,2002,636
HECTOR,M,2002,628
JUAN CARLOS,M,2002,619
SERGI,M,2002,615
MARTIN,M,2002,611
UNAI,M,2002,588
JUAN ANTONIO,M,2002,587
KEVIN,M,2002,543
ADRIA,M,2002,542
FRANCISCO JOSE,M,2002,537
ASIER,M,2002,533
XAVIER,M,2002,533
ALBERT,M,2002,526
JOAQUIN,M,2002,504
ORIOL,M,2002,498
BORJA,M,2002,497
MIKEL,M,2002,482
MOHAMED,M,2002,480
JONATHAN,M,2002,469
JON,M,2002,464
GUILLEM,M,2002,454
ALFONSO,M,2002,453
RICARDO,M,2002,424
CESAR,M,2002,418
ISAAC,M,2002,403
RAMON,M,2002,400
ANDER,M,2002,390
JOSE MIGUEL,M,2002,390
MARCO,M,2002,382
SALVADOR,M,2002,359
MARTI,M,2002,352
MARIA,F,2002,9037
LUCIA,F,2002,7863
PAULA,F,2002,6066
LAURA,F,2002,5656
MARTA,F,2002,4747
ALBA,F,2002,4705
ANDREA,F,2002,4516
SARA,F,2002,3585
ANA,F,2002,3454
NEREA,F,2002,3239
CLAUDIA,F,2002,2992
CRISTINA,F,2002,2687
MARINA,F,2002,2685
ELENA,F,2002,2486
IRENE,F,2002,2373
NATALIA,F,2002,2331
CARLA,F,2002,2246
CARMEN,F,2002,2091
NURIA,F,2002,1904
AINHOA,F,2002,1663
PATRICIA,F,2002,1633
JULIA,F,2002,1613
ANGELA,F,2002,1547
ROCIO,F,2002,1540
SANDRA,F,2002,1508
RAQUEL,F,2002,1477
SOFIA,F,2002,1430
ALICIA,F,2002,1269
CLARA,F,2002,1249
NOELIA,F,2002,1247
MIRIAM,F,2002,1179
ALEJANDRA,F,2002,1177
EVA,F,2002,1165
ISABEL,F,2002,1152
SILVIA,F,2002,1138
CELIA,F,2002,1111
LORENA,F,2002,1103
INES,F,2002,1096
BEATRIZ,F,2002,929
MIREIA,F,2002,900
LAIA,F,2002,890
LIDIA,F,2002,884
CARLOTA,F,2002,861
BLANCA,F,2002,860
ARIADNA,F,2002,815
ADRIANA,F,2002,811
ANNA,F,2002,807
CAROLINA,F,2002,793
MONICA,F,2002,766
ANA MARIA,F,2002,749
VERONICA,F,2002,687
VICTORIA,F,2002,683
AITANA,F,2002,682
ESTHER,F,2002,677
JUDITH,F,2002,637
GISELA,F,2002,619
SONIA,F,2002,574
LARA,F,2002,562
MAR,F,2002,553
DANIELA,F,2002,539
EMMA,F,2002,525
AIDA,F,2002,522
AROA,F,2002,516
BELEN,F,2002,508
HELENA,F,2002,502
AINA,F,2002,497
LEIRE,F,2002,494
TERESA,F,2002,489
AINARA,F,2002,475
JUDIT,F,2002,460
PAOLA,F,2002,454
YAIZA,F,2002,447
SHEILA,F,2002,442
MARIA DEL CARMEN,F,2002,438
BERTA,F,2002,424
FATIMA,F,2002,421
NOEMI,F,2002,419
AINOA,F,2002,415
PALOMA,F,2002,410
NAIARA,F,2002,409
MARIA JOSE,F,2002,405
GEMA,F,2002,401
TANIA,F,2002,396
REBECA,F,2002,394
ERIKA,F,2002,390
ZAIRA,F,2002,388
ANE,F,2002,387
MARTINA,F,2002,361
SUSANA,F,2002,355
ELISA,F,2002,351
ALBA MARIA,F,2002,347
SALMA,F,2002,346
PILAR,F,2002,345
CANDELA,F,2002,343
NADIA,F,2002,336
ESTELA,F,2002,334
VALERIA,F,2002,334
JENNIFER,F,2002,307
IRATI,F,2002,303
INMACULADA,F,2002,299
