Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,233
JORGE,M,2002,204
PABLO,M,2002,194
DANIEL,M,2002,180
DAVID,M,2002,159
DIEGO,M,2002,153
JAVIER,M,2002,150
ADRIAN,M,2002,143
SERGIO,M,2002,132
MARIO,M,2002,121
MARIA,F,2002,249
LUCIA,F,2002,227
PAULA,F,2002,160
LAURA,F,2002,148
ALBA,F,2002,130
SARA,F,2002,129
ANDREA,F,2002,127
MARTA,F,2002,104
ANA,F,2002,99
INES,F,2002,79
MARTIN,M,2022,99
HUGO,M,2022,87
LEO,M,2022,86
MATEO,M,2022,82
LUCAS,M,2022,78
ENZO,M,2022,70
PABLO,M,2022,70
ADRIAN,M,2022,69
DIEGO,M,2022,67
ALVARO,M,2022,61
LUCIA,F,2022,102
VALERIA,F,2022,80
SOFIA,F,2022,77
JULIA,F,2022,73
LARA,F,2022,73
VEGA,F,2022,60
MARTINA,F,2022,58
OLIVIA,F,2022,57
INES,F,2022,56
MARIA,F,2022,56
