Nombre,Sexo,Año,Cantidad
PABLO,M,2002,144
DANIEL,M,2002,129
ALEJANDRO,M,2002,120
ADRIAN,M,2002,117
DIEGO,M,2002,115
DAVID,M,2002,109
SERGIO,M,2002,107
JAVIER,M,2002,91
MIGUEL,M,2002,90
ALVARO,M,2002,82
LUCIA,F,2002,206
MARIA,F,2002,142
ALBA,F,2002,127
SARA,F,2002,117
LAURA,F,2002,114
PAULA,F,2002,111
ANDREA,F,2002,101
CLAUDIA,F,2002,86
NEREA,F,2002,66
ANA,F,2002,57
MARTIN,M,2022,77
MATEO,M,2022,73
LEO,M,2022,55
LUCAS,M,2022,55
ENZO,M,2022,47
HUGO,M,2022,46
MANUEL,M,2022,46
ENOL,M,2022,38
MARCO,M,2022,37
NICOLAS,M,2022,36
SOFIA,F,2022,61
LUCIA,F,2022,54
VALERIA,F,2022,50
MARTINA,F,2022,49
OLIVIA,F,2022,40
DANIELA,F,2022,37
JULIA,F,2022,37
EMMA,F,2022,36
NOA,F,2022,32
SARA,F,2022,31
