Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,165
MARC,M,2002,134
JOAN,M,2002,111
ADRIAN,M,2002,104
DANIEL,M,2002,97
CARLOS,M,2002,89
ANTONI,M,2002,88
DAVID,M,2002,86
ANTONIO,M,2002,83
JAVIER,M,2002,81
MARIA,F,2002,211
PAULA,F,2002,143
LAURA,F,2002,127
MARINA,F,2002,118
LUCIA,F,2002,115
MARTA,F,2002,100
NURIA,F,2002,98
AINA,F,2002,93
ANDREA,F,2002,93
NEREA,F,2002,86
MARC,M,2022,123
PAU,M,2022,81
LUCAS,M,2022,64
HUGO,M,2022,60
ALEX,M,2022,51
LEO,M,2022,51
MATEO,M,2022,51
JOAN,M,2022,50
LUCA,M,2022,42
ALEJANDRO,M,2022,41
MARTINA,F,2022,81
SOFIA,F,2022,77
JULIA,F,2022,69
OLIVIA,F,2022,68
PAULA,F,2022,65
EMMA,F,2022,62
LUCIA,F,2022,60
ONA,F,2022,58
MARIA,F,2022,57
LAIA,F,2022,53
