Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,361
DANIEL,M,2002,291
ADRIAN,M,2002,233
PABLO,M,2002,200
JAVIER,M,2002,198
GABRIEL,M,2002,162
DAVID,M,2002,151
ALVARO,M,2002,128
CARLOS,M,2002,122
RAUL,M,2002,115
ANDREA,F,2002,214
PAULA,F,2002,200
LAURA,F,2002,189
MARIA,F,2002,178
LUCIA,F,2002,169
SARA,F,2002,156
CLAUDIA,F,2002,137
ALBA,F,2002,135
CARLA,F,2002,118
MARTA,F,2002,110
MATEO,M,2022,132
LIAM,M,2022,119
HUGO,M,2022,104
GAEL,M,2022,101
THIAGO,M,2022,98
ENZO,M,2022,79
MARTIN,M,2022,78
LUCAS,M,2022,77
DIEGO,M,2022,75
LEO,M,2022,73
VALERIA,F,2022,119
SOFIA,F,2022,110
MARTINA,F,2022,102
VALENTINA,F,2022,92
LUCIA,F,2022,91
ALMA,F,2022,78
MIA,F,2022,74
CHLOE,F,2022,68
EMMA,F,2022,59
JIMENA,F,2022,56
