Nombre,Sexo,Año,Cantidad
PABLO,M,2002,111
MARIO,M,2002,97
ALEJANDRO,M,2002,93
DIEGO,M,2002,90
ALVARO,M,2002,87
DANIEL,M,2002,73
JAVIER,M,2002,71
ADRIAN,M,2002,67
DAVID,M,2002,63
SERGIO,M,2002,51
LUCIA,F,2002,132
MARIA,F,2002,98
PAULA,F,2002,94
ALBA,F,2002,71
LAURA,F,2002,68
SARA,F,2002,62
ANDREA,F,2002,61
MARINA,F,2002,55
MARTA,F,2002,50
ANGELA,F,2002,41
MARTIN,M,2022,59
MATEO,M,2022,59
MARIO,M,2022,38
LUCAS,M,2022,36
DANIEL,M,2022,31
BRUNO,M,2022,30
HUGO,M,2022,30
LEO,M,2022,30
MARCOS,M,2022,30
PABLO,M,2022,30
LUCIA,F,2022,41
MARTINA,F,2022,38
VALERIA,F,2022,37
OLIVIA,F,2022,36
SOFIA,F,2022,33
JULIA,F,2022,29
ALBA,F,2022,27
JIMENA,F,2022,26
VERA,F,2022,25
DEVA,F,2022,24
