Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,374
JAVIER,M,2002,341
DAVID,M,2002,298
DANIEL,M,2002,283
CARLOS,M,2002,280
PABLO,M,2002,265
ADRIAN,M,2002,240
ALVARO,M,2002,236
SERGIO,M,2002,205
MARIO,M,2002,189
MARIA,F,2002,472
LUCIA,F,2002,459
LAURA,F,2002,244
MARTA,F,2002,229
PAULA,F,2002,220
ANDREA,F,2002,217
ALBA,F,2002,200
ELENA,F,2002,185
IRENE,F,2002,161
NATALIA,F,2002,153
HUGO,M,2022,181
MARTIN,M,2022,171
LUCAS,M,2022,170
MATEO,M,2022,151
MANUEL,M,2022,145
ALEJANDRO,M,2022,132
DANIEL,M,2022,131
ALVARO,M,2022,128
PABLO,M,2022,128
LEO,M,2022,118
LUCIA,F,2022,179
VALERIA,F,2022,179
SOFIA,F,2022,140
MARTINA,F,2022,125
MARIA,F,2022,115
PAULA,F,2022,114
CARLA,F,2022,110
JULIA,F,2022,103
VEGA,F,2022,100
EMMA,F,2022,97
