Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,445
PABLO,M,2002,424
ALVARO,M,2002,347
DAVID,M,2002,329
DANIEL,M,2002,327
DIEGO,M,2002,317
JAVIER,M,2002,302
ADRIAN,M,2002,297
SERGIO,M,2002,294
MARIO,M,2002,254
LUCIA,F,2002,576
MARIA,F,2002,394
PAULA,F,2002,312
LAURA,F,2002,287
ALBA,F,2002,252
SARA,F,2002,237
ANDREA,F,2002,215
MARTA,F,2002,198
ANA,F,2002,176
CLAUDIA,F,2002,152
MARTIN,M,2022,219
MATEO,M,2022,206
HUGO,M,2022,156
LEO,M,2022,136
LUCAS,M,2022,135
DANIEL,M,2022,126
ADRIAN,M,2022,124
MANUEL,M,2022,120
PABLO,M,2022,116
DIEGO,M,2022,114
LUCIA,F,2022,184
VALERIA,F,2022,158
SOFIA,F,2022,123
CARLA,F,2022,114
MARTINA,F,2022,114
PAULA,F,2022,103
DANIELA,F,2022,101
JULIA,F,2022,100
JIMENA,F,2022,96
OLIVIA,F,2022,96
