Nombre,Sexo,Año,Cantidad
MARC,M,2002,1509
ALEX,M,2002,957
DAVID,M,2002,913
PAU,M,2002,913
POL,M,2002,862
ARNAU,M,2002,723
DANIEL,M,2002,697
ALEJANDRO,M,2002,604
GERARD,M,2002,582
JORDI,M,2002,577
MARIA,F,2002,1189
PAULA,F,2002,1144
LAURA,F,2002,949
CARLA,F,2002,912
ALBA,F,2002,873
MARTA,F,2002,788
LAIA,F,2002,775
JULIA,F,2002,741
ANDREA,F,2002,701
ANNA,F,2002,693
LEO,M,2022,433
NIL,M,2022,425
MARC,M,2022,397
POL,M,2022,392
JAN,M,2022,387
BIEL,M,2022,373
MARTI,M,2022,365
ALEX,M,2022,356
PAU,M,2022,339
HUGO,M,2022,307
JULIA,F,2022,440
ONA,F,2022,414
MARTINA,F,2022,394
MIA,F,2022,372
LUCIA,F,2022,356
EMMA,F,2022,349
SOFIA,F,2022,330
AINA,F,2022,322
GALA,F,2022,288
PAULA,F,2022,284
