Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,263
JAVIER,M,2002,193
CARLOS,M,2002,155
DAVID,M,2002,142
PABLO,M,2002,140
MANUEL,M,2002,129
DANIEL,M,2002,123
SERGIO,M,2002,123
ADRIAN,M,2002,116
ALVARO,M,2002,113
MARIA,F,2002,276
LUCIA,F,2002,267
LAURA,F,2002,152
MARTA,F,2002,151
ANDREA,F,2002,120
ELENA,F,2002,119
ANA,F,2002,108
PAULA,F,2002,106
ALBA,F,2002,104
CARMEN,F,2002,88
MANUEL,M,2022,131
HUGO,M,2022,114
ALEJANDRO,M,2022,92
MARTIN,M,2022,92
MATEO,M,2022,86
ALVARO,M,2022,77
DANIEL,M,2022,75
PABLO,M,2022,73
CARLOS,M,2022,63
LUCAS,M,2022,61
LUCIA,F,2022,100
VALERIA,F,2022,86
JIMENA,F,2022,77
MARIA,F,2022,77
MARTINA,F,2022,68
CARMEN,F,2022,67
ALMA,F,2022,63
CARLA,F,2022,61
PAULA,F,2022,60
DANIELA,F,2022,57
