Nombre,Sexo,Año,Cantidad
PABLO,M,2002,468
ALEJANDRO,M,2002,428
ADRIAN,M,2002,319
DAVID,M,2002,318
DIEGO,M,2002,296
DANIEL,M,2002,286
MANUEL,M,2002,225
MIGUEL,M,2002,215
BRAIS,M,2002,196
JAVIER,M,2002,191
LUCIA,F,2002,464
LAURA,F,2002,372
MARIA,F,2002,343
SARA,F,2002,302
PAULA,F,2002,295
ALBA,F,2002,290
ANDREA,F,2002,285
NEREA,F,2002,228
MARTA,F,2002,222
ANA,F,2002,212
MARTIN,M,2022,263
MATEO,M,2022,240
LEO,M,2022,173
LUCAS,M,2022,169
HUGO,M,2022,159
MANUEL,M,2022,144
ENZO,M,2022,129
LUCA,M,2022,129
ROI,M,2022,116
GAEL,M,2022,104
NOA,F,2022,159
SOFIA,F,2022,140
VALERIA,F,2022,135
OLIVIA,F,2022,124
MARTINA,F,2022,121
LUCIA,F,2022,120
DANIELA,F,2022,118
LARA,F,2022,110
SARA,F,2022,106
MIA,F,2022,101
