Nombre,Sexo,Año,Cantidad
DAVID,M,2002,56
JAVIER,M,2002,54
DIEGO,M,2002,40
PABLO,M,2002,38
SERGIO,M,2002,38
ADRIAN,M,2002,37
ALEJANDRO,M,2002,36
DANIEL,M,2002,36
MIGUEL,M,2002,34
MARIO,M,2002,33
LUCIA,F,2002,59
MARIA,F,2002,49
ALBA,F,2002,42
PAULA,F,2002,41
MARTA,F,2002,39
LAURA,F,2002,35
SARA,F,2002,29
ANA,F,2002,28
ANGELA,F,2002,24
ANDREA,F,2002,23
MATEO,M,2022,32
LUCAS,M,2022,26
MARTIN,M,2022,26
MARCOS,M,2022,25
LEO,M,2022,21
HUGO,M,2022,16
PABLO,M,2022,16
DANIEL,M,2022,15
ADRIAN,M,2022,14
ENZO,M,2022,14
LUCIA,F,2022,30
VALERIA,F,2022,28
SOFIA,F,2022,27
MARTINA,F,2022,24
ALBA,F,2022,19
EMMA,F,2022,16
JULIA,F,2022,15
CARLA,F,2022,14
VICTORIA,F,2022,12
NOA,F,2022,11
