Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,1571
DANIEL,M,2002,1220
ALVARO,M,2002,1213
PABLO,M,2002,1048
ADRIAN,M,2002,986
JAVIER,M,2002,926
DAVID,M,2002,912
SERGIO,M,2002,871
JORGE,M,2002,799
CARLOS,M,2002,647
LUCIA,F,2002,1688
MARIA,F,2002,1245
PAULA,F,2002,1066
LAURA,F,2002,910
ALBA,F,2002,761
MARTA,F,2002,742
SARA,F,2002,685
ANDREA,F,2002,672
ANA,F,2002,529
CLAUDIA,F,2002,501
MATEO,M,2022,632
MARTIN,M,2022,531
LUCAS,M,2022,523
HUGO,M,2022,440
DANIEL,M,2022,438
ALEJANDRO,M,2022,427
ALVARO,M,2022,407
PABLO,M,2022,407
DIEGO,M,2022,400
LEO,M,2022,376
LUCIA,F,2022,727
SOFIA,F,2022,589
OLIVIA,F,2022,440
MARTINA,F,2022,422
VALERIA,F,2022,374
EMMA,F,2022,339
PAULA,F,2022,333
JULIA,F,2022,324
MARIA,F,2022,301
DANIELA,F,2022,279
