Nombre,Sexo,Año,Cantidad
MOHAMED,M,2002,36
BILAL,M,2002,21
ALEJANDRO,M,2002,15
ALI,M,2002,10
AMIN,M,2002,10
YUNES,M,2002,10
DANIEL,M,2002,9
ISMAEL,M,2002,9
ADRIAN,M,2002,8
PABLO,M,2002,8
SALMA,F,2002,22
LAURA,F,2002,13
MARINA,F,2002,10
DUNIA,F,2002,9
YUSRA,F,2002,8
LUCIA,F,2002,7
MARIA,F,2002,7
AMIRA,F,2002,6
FARAH,F,2002,6
IMAN,F,2002,6
MOHAMED,M,2022,17
RAYAN,M,2022,17
IBRAHIM,M,2022,12
IMRAN,M,2022,11
AMIR,M,2022,10
ADAM,M,2022,8
ANAS,M,2022,7
MAHER,M,2022,7
NAEL,M,2022,7
BILAL,M,2022,6
SARA,F,2022,12
SOFIA,F,2022,10
AMIRA,F,2022,9
NAYLA,F,2022,7
NUR,F,2022,7
DANIELA,F,2022,6
INARA,F,2022,6
MALAK,F,2022,6
YASMIN,F,2022,6
LUCIA,F,2022,5
