Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,349
PABLO,M,2002,258
ANTONIO,M,2002,213
JAVIER,M,2002,208
ALVARO,M,2002,190
JOSE,M,2002,187
ADRIAN,M,2002,180
DAVID,M,2002,172
DANIEL,M,2002,171
FRANCISCO,M,2002,156
MARIA,F,2002,409
LUCIA,F,2002,239
LAURA,F,2002,193
PAULA,F,2002,186
MARTA,F,2002,163
ANDREA,F,2002,157
ANA,F,2002,152
ALBA,F,2002,139
ELENA,F,2002,134
NEREA,F,2002,130
HUGO,M,2022,150
MARTIN,M,2022,148
PABLO,M,2022,134
LEO,M,2022,128
ALEJANDRO,M,2022,125
MARIO,M,2022,110
ALVARO,M,2022,103
DANIEL,M,2022,103
ANTONIO,M,2022,100
MANUEL,M,2022,89
LUCIA,F,2022,163
MARIA,F,2022,148
SOFIA,F,2022,144
VALERIA,F,2022,136
SARA,F,2022,98
DANIELA,F,2022,90
MARTINA,F,2022,90
VEGA,F,2022,90
AITANA,F,2022,75
ALMA,F,2022,73
