Nombre,Sexo,Año,Cantidad
IKER,M,2002,392
JON,M,2002,362
UNAI,M,2002,337
MIKEL,M,2002,326
ANDER,M,2002,292
ASIER,M,2002,273
AITOR,M,2002,250
ENEKO,M,2002,220
XABIER,M,2002,217
JULEN,M,2002,202
ANE,F,2002,321
LEIRE,F,2002,251
IRATI,F,2002,234
NEREA,F,2002,214
MARIA,F,2002,202
MAIALEN,F,2002,153
MAIDER,F,2002,152
PAULA,F,2002,152
UXUE,F,2002,143
JUNE,F,2002,141
MARTIN,M,2022,132
MARKEL,M,2022,126
JULEN,M,2022,114
OIHAN,M,2022,111
JON,M,2022,109
LUKA,M,2022,108
AIMAR,M,2022,107
AIUR,M,2022,94
OIER,M,2022,93
ANDER,M,2022,90
ANE,F,2022,128
JUNE,F,2022,110
MALEN,F,2022,108
LAIA,F,2022,107
NAHIA,F,2022,101
MADDI,F,2022,93
NORA,F,2022,91
IZARO,F,2022,85
LUCIA,F,2022,77
ALAIA,F,2022,72
