Nombre,Sexo,Año,Cantidad
ALEJANDRO,M,2002,930
PABLO,M,2002,768
JAVIER,M,2002,608
CARLOS,M,2002,599
DAVID,M,2002,594
ADRIAN,M,2002,586
DANIEL,M,2002,483
SERGIO,M,2002,463
JORGE,M,2002,438
ALVARO,M,2002,422
MARIA,F,2002,1051
LUCIA,F,2002,811
PAULA,F,2002,682
ANDREA,F,2002,577
LAURA,F,2002,548
ALBA,F,2002,545
MARTA,F,2002,524
SARA,F,2002,386
ANA,F,2002,379
CARLA,F,2002,361
MATEO,M,2022,378
MARC,M,2022,364
HUGO,M,2022,351
LEO,M,2022,341
MARTIN,M,2022,333
LUCAS,M,2022,308
DANIEL,M,2022,248
ENZO,M,2022,240
LUCA,M,2022,228
PAU,M,2022,216
LUCIA,F,2022,369
SOFIA,F,2022,341
VALERIA,F,2022,300
MARTINA,F,2022,291
EMMA,F,2022,246
MARIA,F,2022,234
AITANA,F,2022,227
VEGA,F,2022,215
JULIA,F,2022,209
MIA,F,2022,201
